,datetime,aqi
0,17/12/2022,29
1,18/12/2022,33
2,19/12/2022,29
3,20/12/2022,27
4,21/12/2022,31
5,22/12/2022,25
6,23/12/2022,44
7,24/12/2022,57
8,25/12/2022,45
9,26/12/2022,46
10,27/12/2022,51
11,28/12/2022,55
12,29/12/2022,60
13,30/12/2022,61
14,31/12/2022,57
15,01/01/2023,59
16,02/01/2023,60
17,03/01/2023,31
18,04/01/2023,26
19,05/01/2023,46
20,06/01/2023,46
21,07/01/2023,38
22,08/01/2023,41
23,09/01/2023,54
24,10/01/2023,72
25,11/01/2023,59
26,12/01/2023,57
27,13/01/2023,54
28,14/01/2023,65
29,15/01/2023,65
